식별 ID,수집한 플랫폼,수집한 종목,날짜,뉴스 제목,뉴스 내용
0002444972,네이버,SK이노베이션,2025-03-20T10:32:00+09:00,"“日닛산 뚫었다” SK이노, 자회사 SK온 15조 ‘잭팟’에 장 초반 ‘급등’ [종목Pick]","SK이노베이션, SK온 배터리 15조원 수주에 장 초반 상승세
한때 7%까지 오르기도
SK온, 日 완성차 업체 ‘닛산’에 배터리 공급 계약


SK이노베이션 로고. [연합]


[헤럴드경제=김민지 기자] SK이노베이션이 자회사 SK온의 15조원 규모 배터리 공급 계약에 힘입어 20일 장 초반 주가가 상승세다.

20일 한국거래소에 따르면 오전 10시 15분 기준 SK이노베이션은 전장 대비 2.09% 오른 12만7200원에 거래되고 있다. 개장 직후 5.70% 오른 주가는 한때 7.14% 강세로 13만3500원까지 오르기도 했다.

전날(19일) SK온은 일본 완성차 업체인 닛산과 2028~2033년 6년간 총 99.5GWh(기가와트시) 규모 배터리 공급을 골자로 한 계약을 체결했다고 밝혔다. SK온이 일본 완성차 업체와 파트너십을 맺고 수주에 성공한 것은 이번이 처음이다.

특히 이번 수주는 전기차 캐즘 상황 속 전기차, 배터리 업체들이 실적에 어려움을 겪고 있는 가운데 이뤄낸 신규 수주이자 규모가 큰 계약이라는 점에서 대형 호재로 작용할 것으로 증권가는 내다보고 있다. 전일 시간 외 거래에서도 SK이노베이션 주가는 5% 넘게 상승했다.

조현렬 삼성증권 연구원은 “SK온의 이번 계약으로 2028년부터 가동률이 상승할 수 있는 점은 중장기 관점에서 긍정적으로 해석 가능하다”고 평가했다.

한 증권업계 관계자 또한 “이번 수주로 증명된 SK온의 배터리 사업성 확보가 모회사인 SK이노베이션 주가 상승 모멘텀으로 작용하게 될 가능성이 있다”라고 말했다.

이번 계약의 배터리 공급은 북미 현지에서 직접 대응할 예정이다. 글로벌 주요 자동차 시장인 북미는 SK온이 주요하게 배터리 사업을 키워 나가고 있는 전략적 요충지다.

SK온은 미국 조지아주에 연산 22GWh 규모의 공장을 독자 운영하고 있으며 고객사와의 합작 법인 형태로 4개 신규 공장을 건설 중이다. 모든 공장이 완공될 경우 SK온의 미국 내 배터리 총생산 규모는 180GWh를 넘어설 전망이다.

SK온은 “앞으로도 기존 고객사는 물론 다수 완성차 업체와의 신규 수주를 확대해 나갈 계획”이라고 밝혔다."
0008140724,네이버,SK이노베이션,2025-03-20T10:20:00+09:00,'테슬라'효과에 개별 호재까지…2차 전지株 급등[핫종목],"도널드 트럼프 미국 대통령이 11일 (현지시간) 워싱턴 백악관에서 일론 머스크 테슬라 CEO와 빨간색 테슬라 모델 S 세단 옆에 서서 취재진을 만나고 있다. 2025.03.12 ⓒ AFP=뉴스1 ⓒ News1 우동명 기자


(서울=뉴스1) 강수련 기자 = 간밤 뉴욕 증시에서 테슬라가 4%대 상승하면서 국내 2차 전지 관련주들도 일제히 오르고 있다.

오전 9시55분 기준 POSCO홀딩스(005490)는 전일 대비 2만 2000원(7.04%) 오른 33만 4500원에 거래되고 있다.

삼성SDI(006400)는 전일 대비 9600원(5%) 오른 20만 1500원에 거래 중이다.

이외에도 SK이노베이션(096770)(2.33%), LG에너지솔루션(373220)(1.36%), 에코프로비엠(247540)(1.52%) 등도 오름세다.

미국 연방준비제도(연준·Fed) 금리인하 전망을 그대로 유지해 미증시가 일제히 랠리하면서 테슬라를 비롯한 전기차도 모두 상승한 영향이다. 테슬라는 4.68% 올랐고, 리비안과 루시드는 각각 1.43%, 3.83% 상승했다.

개별 회사들의 호재도 더해졌다. 삼성 SDI의 경우 최주선 사장이 정기 주주총회와 이사회를 통해 대표이사로 공식 선임된 전날 자사주 1000주를 장내 매입했다는 소식도 영향을 미쳤다.

POSCO 홀딩스는 이날 주총에서 참석자의 3분의 2 이상 찬성으로 회장의 재선임(3연임) 가결 정족수를 상향하면서, 지배구조 의지를 밝힌 점이 긍정적으로 작용했다."
0005563980,네이버,SK이노베이션,2025-03-20T09:54:00+09:00,"[특징주]SK이노베이션, 자회사 SK온 대규모 수주에 강세","SK이노베이션이 자회사 SK온의 대규모 배터리 공급 계약 소식에 힘입어 20일 장 초반 상승세를 나타내고 있다.

SK이노베이션의 주가는 이날 오전 9시50분 현재 전장 대비 2.41% 상승한 주당 12만7600원에 거래되고 있다. 장 초반 7%대 강세를 보이며 한때 13만3000원선을 넘어서기도 했다.



이는 전날 SK이노베이션의 자회사인 SK온이 일본 완성차업체 닛산과 2028년부터 6년간 총 99.5GWh(기가와트시) 규모의 배터리 공급에 대해 계약했다고 발표한 데 따른 여파로 분석된다. 정확한 금액은 공개되지 않았으나 업계에서는 약 15조원 규모로 추산하고 있다. SK온이 일본 완성차업체와 계약한 것은 이번이 처음이다.

SK이노베이션의 액화천연가스(LNG) 사업과 관련해서도 증권가 내 긍정적 평가가 확인된다. 앞서 현대차증권은 ""향후 LNG 및 발전사업이 주가 모멘텀이 될 것""이라며 LNG트레이딩 기업들의 밸류에이션을 반영한 목표주가를 16만원으로 상향했다. iM증권 역시 ""2025년 하반기를 기점으로 E&S 사업에서 긍정적인 변화가 두드러지며 LNG 업체로서 재평가가 이뤄질 것""이라고 분석했다."
0000430609,네이버,SK이노베이션,2025-03-20T09:43:00+09:00,[이 시각 시황] 퓨리오사AI '1조 딜'…韓정부 '국가전략기술' 심사 돌입,"■ 재테크 노하우 머니쇼 '이 시각 시황' - 장연재 

이 시각 시황입니다.

현재 국내증시 간밤에 있었던 FOMC 결과까지 무난하게 소화하는 모습입니다.

코스피 0.22% 상승하면서 현재 2,634 포인트 가리키고 있습니다. 

코스닥도 0.18% 상승세로 현재 739 포인트에서 움직이고 있습니다. 

수급상황 보겠습니다.

유가증권 시장 매매 동향입니다.

외국인이 500억 원 가까운 매도우위 기록 중입니다. 

기관도 176억 원 매도 우위 보여주고 있습니다.

개인만 홀로 647억 원 순매수 기록 중입니다. 

코스닥 매매 동향입니다.

외국인이 77억 원 매도우위, 기관도 478억 원 매도 우위 보입니다. 

개인만 홀로 645억 원 순매수하고 있습니다.

등락률 상하위 업종입니다.

오늘(20일)은 에너지장비 및 서비스, 철강, 석유와 가스 업종이 상승률 상위권에 위치해 있습니다.

반면, 우주항공과 국방, 판매업체, 건강관리 기술 업종은 하락폭이 큰 것으로 집계됩니다.

시장을 주도하는 테마, 종목별 시세 체크하시죠.

한 매체에서 정부가 국내 인공지능(AI) 반도체 스타트업 퓨리오사 AI와 미국 빅테크 메타 간 인수합병(M&A) 거래를 심사하고 있다고 보도하자 어제 시간 외 거래에서부터 주목받고 있습니다.

관련주 내에서는 DSC인베스트먼트가 11.28% 상승하면서 현재 거래가 5,830원입니다.

TS인베스트먼트가 7.54% 강세로 1,275원에 거래되고 있습니다. 

포바이포가 15% 가까운 상승세 보이면서 7,870원입니다.

엑스페릭스  6.18% 강세로 거래가 4,125원입니다.

2차 전지 관련주도 강세 기록 중입니다.

SK온, 닛산에 15조 원 규모 전기차 배터리 공급한다는 소식이 전반적인 호재로 작용했습니다.

SK아이이테크놀로지가 4.27% 상승하면서 26,850원입니다.

SK이노베이션 2.4% 오름세 기록 중으로 현재 거래가 127,600원입니다.

삼성 SDI가 1.51% 강세로 194,800원입니다.

LG화학 1.65% 강세로 246,000원에 거래되고 있습니다. 

롯데에너지머티리얼즈도 1.89% 강세 보여줍니다. 

로봇 관련주 반등합니다.

유진그룹 계열 로봇·물류자동화 전문기업 티엑스알로보틱스 상장 효과를 받고 있습니다.

티엑스알로보틱스가 현재 94% 폭등세 보이면서 26,150원입니다. 

유일로보틱스가 1.27% 상승하면서 63,800원에 거래되고 있습니다. 

티로보틱스가 2.25% 오름세로 14,980원입니다.

에스피시스템스가 0.71% 강세로 현재 거래가 8,510원입니다.

서암기계공업은 0.14% 하락 전환된 상태입니다.  

마지막으로, 반도체 장비주 오늘도 상승세 이어갑니다. 

메모리 반도체 업황 개선 조짐이 나타나는 가운데 간밤 엔비디아가 반등하고, 필라델피아 반도체 지수가 강세를 기록한 영향입니다.

팸텍이 14.6% 급등하면서 1,869원입니다.

주성엔지니어링이 3.72% 상승 중으로 거래가 40,400원입니다.

아스플로가 강세 보입니다.

네패스아크도 5.67% 오름세로 현재 거래가 12,910원입니다.

HPSP도 3% 오름세로 현재 거래가 28,550원으로 집계되고 있습니다. 

 

당신의 제보가 뉴스로 만들어집니다.
SBS Biz는 여러분의 제보를 기다리고 있습니다.
홈페이지 = https://url.kr/9pghjn"
0003526652,네이버,SK이노베이션,2025-03-20T09:41:00+09:00,20일 개장 초반 국내 증시 검색 상위 TOP 10,"개장 초반 국내 증시 검색 상위 TOP 10


20일 9시 30분 기준, HLB(028300)가 검색비율 10.44%로 실시간 포털에서 가장 많이 검색된 종목으로 나타났다. 현재가는 69,750원이며, 전 거래일 대비 소폭 하락한 -2.99%의 등락률을 기록하고 있다.

삼성전자(005930)는 현재가 58,750원으로, 전 거래일 대비 0.43% 상승한 소폭 상승세를 보이고 있으며, 검색비율은 6.99%다. 알테오젠(196170)은 현재가 419,000원으로 보합세를 유지하고 있으며, 검색비율은 4.63%다. 한텍(098070)은 급등세를 보이며 26,200원으로 거래 중이고, 검색비율은 3.29%다. 티엑스알로보틱스(484810)는 91.85%의 뚜렷한 상승세를 기록하며 25,900원에 거래되고 있으며, 검색비율은 2.95%다.

한화오션(042660), 두산에너빌리티(034020), 한화시스템(272210), SK이노베이션(096770), 유한양행(000100)의 검색비율은 각각 2.83%, 2.33%, 1.78%, 1.73%, 1.68%로 나타났다.





HLB는 거래량 580,948주와 882.52 포인트의 PMI 지수를 기록하고 있다. 삼성전자는 7,776,876주의 거래량과 594.57 포인트의 PMI 지수를 보이고 있다. 알테오젠의 거래량은 175,337주이며, PMI 지수는 581.86 포인트다. 한텍의 거래량은 5,874,779주에 달하며, PMI 지수는 5,000 포인트로 나타났다. 티엑스알로보틱스는 12,620,390주의 거래량과 5,000 포인트의 PMI 지수를 기록하고 있다.

한화오션, 두산에너빌리티, 한화시스템, SK이노베이션, 유한양행의 PMI 지수는 각각 1,000.92 포인트, 657.88 포인트, 1,454.27 포인트, 747.98 포인트, 632.63 포인트다.



HLB는 인지도 지수 1.08 포인트와 검색 트렌드 지수 149.5 포인트를 기록 중이다. 삼성전자는 인지도 지수 0.23 포인트와 검색 트렌드 지수 21.5 포인트를 보이고 있다. 알테오젠의 인지도 지수는 0.09 포인트이며, 검색 트렌드 지수는 0 포인트다. 한텍은 인지도 지수 47.16 포인트와 검색 트렌드 지수 2,000 포인트를 기록하고 있다. 티엑스알로보틱스는 인지도 지수 30.41 포인트와 검색 트렌드 지수 2,000 포인트를 기록 중이다.

한화오션, 두산에너빌리티, 한화시스템, SK이노베이션, 유한양행의 검색 트렌드 지수는 각각 193.5 포인트, 75 포인트, 373 포인트, 84.5 포인트, 8 포인트다.



[서울신문과 MetaVX의 생성형 AI가 함께 작성한 기사입니다]"
0005168222,네이버,SK이노베이션,2025-03-20T09:14:00+09:00,"SK이노베이션 회복 기대감 소식에, 장초반 3%대 강세","특징주
/사진=임종철

SK이노베이션이 장초반 3%대 상승세를 보인다.

20일 오전 9시9분 기준 증시에서 SK이노베이션은 전 거래일 대비 4900원(3.93%) 오른 12만9500원에 거래 중이다.

SK이노베이션 주가가 상승세를 보이는건 증권가에서 SK이노베이션에 관한 긍정적 전망을 제시한 덕택으로 풀이된다.

최정욱 하나증권 연구원은 ""SK이노베이션은 지난해 4분기 정유부문 수익성 개선 덕택에 1599억원의 영업이익을 기록하며 흑자전환에 성공했다""며 ""SMP(계통한계가격) 상승으로 에너지사업 수익성 개선을 통해 지난해 부진한 수익성을 딛고 회복할 것으로 예상한다""고 밝혔다."
0005168179,네이버,SK이노베이션,2025-03-20T08:45:00+09:00,"SK, ""기업가치 제고 의지 확인""…SK이노베이션 회복 기대-하나","하나증권은 SK가 자회사 부진으로 지난해 4분기 실적이 적자로 전환했지만 회복 가능성이 있다고 20일 분석했다. 투자의견 '매수'와 목표주가 20만원을 유지했다.

최정욱 하나증권 연구원은 ""지난해 4분기 연결기준 SK 매출액은 전년동기대비 8.9% 감소한 29조8000억원, 영업손실 4500억원을 기록했다""며 ""배터리와 화학부문 해외자회사 실적 악화로 지분법손익이 크게 감소한 탓""이라고 했다.

2차전지는 어려운 시기를 겪고 있지만 정유부문에서 수익성이 개선되고 있다는 점을 긍정적으로 평가했다. SK하이닉스 덕분에 SK스퀘어도 분기 기준 최대 실적을 기록했다.

최 연구원은 ""SK이노베이션은 1599억원의 영업이익을 기록해 흑자전환에 성공했고 SK스퀘어는 SK하이닉스 고부가가치 AI(인공지능) 대상 HBM(고대역폭메모리) 수요 강세로 1조6600억원의 영업이익을 나타냈다""고 밝혔다.

주요 비상장자회사들도 실적 개선 추세가 이어지고 있다고 설명했다. 기업가치 제고 의지도 확인한만큼 최소한 현재 수준 주주환원율은 계속 유지할 수 있을 것으로 내다봤다.

최 연구원은 ""SK는 전년대비 40% 증가한 주당 7000원의 배당금을 결의했다""며 ""기업가치제고 계획대로 자산매각이익을 배당에 적극적으로 반영하며 기업가치 제고 의지를 시장에 명확히 보여주고 있다""고 했다."
0001202537,네이버,SK이노베이션,2025-03-20T07:34:00+09:00,"""美 금리경로 예상 범위""...불안한 환율 주목 [오늘장 물음표]","오늘 장이 열리기 전 우리가 새롭게 알게 된 것들입니다.

● '예상 부합' FOMC 이후…환율 변수 점검해야
미국의 기준금리를 결정하는 연방공개시장위원회, FOMC가 마무리됐습니다. 뉴욕증시 3대 지수가 1%대 상승 마감했고, 지수들은 FOMC 기자회견이 진행되는 약 1시간 20분 동안 집중해 오르는 모습을 보였습니다.

미국 경제의 불확실성이 관세로 인해 높아졌지만, 경제는 여전히 강하다는 말로 파월 미 연준 의장은 시장을 안심시켰고요. 여러 불확실성에도 시장이 알던 시나리오인 올해 두 번의 금리 인하 전망 역시 변하지 않았습니다.

여기에 더해 이번 FOMC에선 연준이 기준금리와 함께 쓰고 있는 또다른 통화정책인 양적 긴축, QT 속도가 더 줄어든다는 점도 확인됐습니다. 양적 긴축 속도가 줄어든다는 말은, 연준이 유동성 흡수를 위해 죄어온 수도꼭지를 조금 느슨하게 한다는 뜻과 같기 때문에 성장주가 많은 나스닥이 3대 지수 가운데 조금 더 올랐다고 볼 수 있겠지요.

미국의 금리 경로가 예상을 벗어나지 않았다는 점은 외국인 매수세가 들어오고 있는 지금 상황에서 우리 증시에 나쁜 신호는 아닐 겁니다. 그래도 이번에 공개된 여러 지표들을 보면 미국의 경제성장률 전망은 기존보다 더 낮아졌다는 점을 무시하기는 어렵고요, 경험상 미 증시는 FOMC 당일과 다음날의 움직임이 상반된 적이 많았다는 점도 참고하셔야겠습니다.

FOMC는 잘 넘어갔지만, 튀르키예의 정국 불안이 위험자산 회피 심리를 불러일으키면서 원달러 환율을 높이고 있다는 점도 함께 지켜볼 부분입니다.

이 점을 살펴보면 오늘 장에 우리가 던져 볼 큰 질문을 찾을 수 있습니다.

●外人 주도 반도체주 훈풍…모멘텀 단기 변곡점은
국내 증시 이슈에 집중해보면요, 최근 국내 반도체주에 봄바람이 부는 모습입니다.

삼성전자는 모건스탠리가 DS 부문 영업이익을 높여잡은 영향에 주총이라는 변곡점을 넘겼고요.

SK하이닉스는 세계최초로 AI용 초고성능 D램 신제품이죠, HBM4의 12단 샘플을 주요 고객사들에 제공했다고 발표했습니다.

두 회사 모두 외국인과 기관의 매수세가 함께 들어왔습니다. 이 봄바람이 언제까지 지속될지도 살펴볼 수 있는 질문들이 있을 겁니다. 오는 4월부터 주요 반도체 기업들이 낸드플래시 가격을 인상할지와 같은 가까운 질문들에 대한 답이 긍정적일지부터 살펴봐야겠습니다.

이 이슈를 잘 들여다보면, 오늘 시장에 던져 볼 만한 두 번째 질문이 생깁니다.

●SK이노 '닛산 배터리 공급' 공시…주가 영향은
SK이노베이션이 장 마감 뒤 낸 공시도 오늘 장에 영향을 끼칠 가능성이 높아보입니다.

공시는 SK이노베이션의 종속회사가 일본의 닛산 미국법인과 전기차용 배터리 공급계약을 체결했다는 내용을 담고 있습니다. 오는 2028년부터 6년 동안 중형급 전기차 약 100만 대에 탑재할 수 있는 99.4GWh 규모의 배터리를 공급한다는 겁니다.

업계에서는 공급량을 감안하면 15조원의 수주를 이 회사가 올린 것으로 추산합니다. 업계의 추산이 맞다면, 당초 지난 1월 시장에 소문이 먼저 돌았을 때보다 13조원 가까이 공급 규모가 큰 건입니다. 시가총액 18조원이 넘는 SK이노베이션의 주가는 시간외 거래에서 6% 가까이 올랐습니다.

그래서 간 밤 나온 소식들을 찬찬히 되짚어보면, 오늘 우리 증시에 던져봄직한 큰 질문은

-미국의 금리 경로는 시장의 예상대로 움직였지만, FOMC에서 나온 미국 경제 하락 지표와 튀르키예의 불안이 위험자산 회피심리를 자극해 우리 환율과 증시에 영향을 끼칠 가능성을 염두에 두어야 하지 않을까 하는 점,

-최근 외국인과 기관 매수세가 들어오며 상승 중인 반도체주, 주요 동력은 어디에 있는지와 함께 올 4월로 알려진 메모리기업들의 낸드플래시 가격 인상이 상승세를 지속하는 변곡점이 될 수 있을지

-SK이노베이션의 ‘닛산 배터리 공급’ 공시가 오늘장 투자심리에 어느정도 영향을 미칠 수 있는 긍정적 변수인지

등을 짚을 수 있겠습니다.

이 질문들이 오늘 장에 어떤 영향을 미칠지, 오프닝 벨이 울릴 때까지 저희와 함께 살펴보시죠."
0001764235,네이버,SK이노베이션,2025-03-20T05:01:00+09:00,이사 보수 한도 늘어난 기업은?…총수 연봉도 ‘껑충’,"호실적 기록한 중후장대 기업, 보수 한도 상향
반도체·배터리는 축소
연합뉴스

자동차·조선·방산 등 상대적 호황을 누리고 있는 기업들이 올해 주주총회에서 이사 보수 한도를 높이는 안건을 통과시키고 있다. 이에 따라 이사회에 합류한 기업 오너들의 연봉도 덩달아 뛸 전망이다. 반면 대내외 경영 불확실성 확대 속에 반도체, 배터리 업계 등은 보수 총액 한도를 축소하기로 했다.

이사 보수는 회사가 사내·외이사에게 지급하는 월급·상여급·퇴직금 등을 의미한다. 회사가 이사들에게 지급 가능한 보수 총액의 상한선인 ‘보수 총액 한도’는 상법에 따라 주주총회를 거쳐 승인받아야 한다.

19일 업계에 따르면 현대자동차는 20일 주총에서 이사 보수 한도를 218억원에서 237억원으로 19억원 올린다. 지난 14일 주총을 연 기아는 보수 한도를 기존 대비 배 이상 늘렸다. 기아의 올해 이사 보수 총액은 전년 대비 95억원 오른 175억원으로 결정됐다.

HD현대는 오는 27일 이사 보수 한도를 지난해 27억원에서 40억원으로 약 1.5배 늘리는 안건을 올릴 예정이다. 이사진 수는 지난해와 같은 5명이다. LIG넥스원도 이사 수 상한을 7명으로 유지하지만 보수 한도액을 기존 35억원에서 40억원으로 상향한다. 한진칼과 대한항공은 보수 한도액을 기존 90억원에서 120억원으로 각각 30억원 확대하는 안건을 올렸다.

통상 이사 보수 한도 증액은 기업 총수의 사내이사 겸직 및 연임과 맞물려 ‘오너의 셀프 연봉 인상’이라는 인식이 많다. 한도가 늘면 자연스럽게 지배주주인 임원이 받을 수 있는 연봉이 올라갈 가능성이 크기 때문이다. 기아의 이사 보수 한도액이 95억원이나 증가한 것은 정의선 현대차그룹 회장의 보수를 지급하기 위한 포석이다. 올해부터 정 회장이 기아의 보수를 받게 되면 총 연봉 수령액은 200억원에 육박할 전망이다. HD현대에서도 권오갑 회장, 정기선 수석부회장의 보수가 오를 공산이 크다. 조원태 한진그룹 회장 연봉도 증가할 것으로 예상된다.

반면 국내 양대 반도체 기업은 보수 한도를 삭감하기로 했다. 삼성전자는 이날 정기주총에서 이사 보수 한도를 360억원으로 전년 대비 16.3% 감액하는 안건을 의결했다. 이사 수도 지난해 11명에서 올해 10명으로 줄였다. 이에 1인 이사 보수 한도는 39억원에서 36억원으로 3억원 축소됐다. 경영진의 고통 분담 차원의 결정으로 해석된다. 지난해 사상 최대 실적을 쓴 SK하이닉스도 이사 보수 한도 총액을 150억원으로 감액했다. 전년 대비 25% 줄어든 수준이다. SK하이닉스가 이사 보수 한도를 축소한 것은 2009년 이후 16년 만에 처음이다.

전기차 캐즘(일시적 수요 둔화) 직격탄을 맞은 배터리 기업들도 보수 한도를 낮췄다. LG에너지솔루션은 2020년 12월 LG화학에서 물적분할된 이후 처음으로 보수 한도를 줄였다. 그간 80억원을 유지해왔지만 올해 60억원으로 전년 대비 25% 줄었다. 삼성SDI도 120억원에서 100억원으로 20억원 내리는 안건을 상정할 예정이다. SK온 모회사 SK이노베이션도 마찬가지로 보수 한도를 120억원에서 100억원으로 내려잡았다."
0003428075,네이버,SK이노베이션,2025-03-20T01:56:00+09:00,"삼성전자도 뛰어넘었다…직원 연봉 평균 1억 중반대, 업계는","정유업계의 평균 연봉이 1억원 중반대를 기록했다. 뉴스1
정유업계의 지난해 직원 평균 연봉이 1억 중반대를 기록하며 높은 급여 수준을 유지한 것으로 나타났다.

19일 에쓰오일(S-OIL)이 공시한 사업보고서에 따르면, 2024년 직원 1인당 평균 급여는 1억5404만원으로 집계됐다.

이는 반도체 업계인 삼성전자(1억3000만원), SK하이닉스(1억1700만원)를 상회하는 수준이다.

안와르 알 히즈아지 에쓰오일 최고경영자(CEO)는 급여 7억7976만원, 상여 1억8780만원 등 총 9억8856만원을 수령했다.

다만 지난해 에쓰오일 직원의 평균 급여는 2023년(1억7293만원) 대비 10.9% 감소했다.

SK이노베이션의 직원 1인당 평균 급여는 2023년 1억5200만원에서 지난해 1억5800만원으로 소폭 증가했다.

4대 정유사에 속하는 HD현대오일뱅크와 GS칼텍스도 조만간 사업보고서를 공개할 예정이다.

2023년 기준 직원 평균 급여는 HD현대오일뱅크 1억3900만원, GS칼텍스 1억6575만원이었다."
