식별 ID,수집한 플랫폼,수집한 종목,날짜,뉴스 제목,뉴스 내용
0000430643,네이버,삼성전자,2025-03-20T11:38:00+09:00,"코스피, 상승폭 조절…FOMC 훈풍에 뉴욕증시 상승","[앵커] 

코스피가 외국인과 기관의 매수세에 힘입어 4 거래일 연속 오르고 있습니다. 

현재 2640선에서 거래되고 있는데요. 

김종윤 기자, 코스피가 소폭이지만 오늘(20일)도 상승하고 있네요? 

[기자] 

코스피는 장초반 등락을 거듭하다 오전 11시 20분 기준 2640선에서 상승폭을 조절하고 있습니다. 

코스피에서 외국인과 기관이 각각 천 5백억과 3백억 가량 순매수하고 있지만 개인이 2천2백억 원을 순매도하고 있습니다. 

삼성전자는 사흘연속 오르면서 6만 원선을 넘보고 있습니다 창사 이후 첫 분기 배당에 나서는 KT는 이틀연속 신고가를 기록 중입니다. 

금호석유화학은 1분기 실적 기대감에 장 초반부터 강세를 보이고 있는데요. 

최주선 사장의 대규모 자사주 매입에 삼성 SDI는 5% 이상 올라 20만 원을 넘겼습니다. 

태영건설은 관리종목 지정이 해제되면서 상한가를 기록했고, 로봇 물류 자동화기업으로 코스닥에 첫 입성한 티엑스알로보틱스는 70% 이상 급등했습니다. 

코스닥 지수는 상승 출발했다 하락세로 돌아섰고, 원·달러 환율은 어제(19일) 종가보다 5원 오른 1천458원으로 뛰었습니다. 

[앵커] 

미 연준이 기준 금리를 현 수준으로 유지하기로 하자 뉴욕증시는 큰 폭으로 올랐네요? 

[기자] 

다우지수는 어제보다 1% 가까이 올랐고 나스닥 지수도 1.4% 상승한데 이어 S&P 500도 1% 이상 올랐습니다. 

연준의 금리동결 결정 이후 점도표에서 올해 두 차례 금리인하를 예상하면서 시장은 크게 안도했습니다. 

보잉이 분기실적 개선 소식에 7% 급등했고, 캘리포니아에서 로보택시 운행허가를 받은 테슬라는 5% 가까이 상승했습니다. 

트럼프 대통령이 정유업계 CEO들과 에너지 패권 회복 대책을 논의한 후 세브론과 엑손모빌도 2% 내외로 뛰었습니다. 

SBS Biz 김종윤입니다

당신의 제보가 뉴스로 만들어집니다.
SBS Biz는 여러분의 제보를 기다리고 있습니다.
홈페이지 = https://url.kr/9pghjn"
0015276578,네이버,삼성전자,2025-03-20T11:37:00+09:00,이재용 회장 만난 이재명 대표,"(서울=연합뉴스) 박동주 기자 = 더불어민주당 이재명 대표(왼쪽)가 20일 서울 강남구 멀티캠퍼스 역삼 SSAFY 서울캠퍼스에서 이재용 삼성전자 회장을 만나 환담하기 위해 이동하고 있다. 2025.3.20 [공동취재]

pdj6635@yna.co.kr"
0015276576,네이버,삼성전자,2025-03-20T11:37:00+09:00,'청년 취업 지원을 위한 현장 간담회',"(서울=연합뉴스) 박동주 기자 = 더불어민주당 이재명 대표와 이재용 삼성전자 회장이 20일 서울 강남구 멀티캠퍼스 역삼 SSAFY 서울캠퍼스에서 청년 취업 지원을 위한 현장 간담회를 하고 있다. 2025.3.20 [공동취재]

pdj6635@yna.co.kr"
0015276574,네이버,삼성전자,2025-03-20T11:37:00+09:00,악수하는 이재용-이재명,"(서울=연합뉴스) 박동주 기자 = 더불어민주당 이재명 대표(오른쪽)가 20일 서울 강남구 멀티캠퍼스 역삼 SSAFY 서울캠퍼스에서 열린 청년 취업 지원을 위한 현장 간담회에 참석해 로비에 마중 나온 이재용 삼성전자 회장과 인사하고 있다. 2025.3.20 [공동취재]

pdj6635@yna.co.kr"
0015276575,네이버,삼성전자,2025-03-20T11:37:00+09:00,이재용 회장 만난 이재명 대표,"(서울=연합뉴스) 박동주 기자 = 더불어민주당 이재명 대표(왼쪽)가 20일 서울 강남구 멀티캠퍼스 역삼 SSAFY 서울캠퍼스에서 이재용 삼성전자 회장을 만나 환담하기 위해 이동하고 있다. 2025.3.20 [공동취재]

pdj6635@yna.co.kr"
0015276577,네이버,삼성전자,2025-03-20T11:37:00+09:00,이재용 회장 만난 이재명 대표,"(서울=연합뉴스) 박동주 기자 = 더불어민주당 이재명 대표(오른쪽)가 20일 서울 강남구 멀티캠퍼스 역삼 SSAFY 서울캠퍼스에서 이재용 삼성전자 회장을 만나 환담하기 위해 이동하고 있다. 2025.3.20 [공동취재]

pdj6635@yna.co.kr"
0015276570,네이버,삼성전자,2025-03-20T11:36:00+09:00,'청년 취업 지원을 위한 현장 간담회',"(서울=연합뉴스) 박동주 기자 = 더불어민주당 이재명 대표와 이재용 삼성전자 회장이 20일 서울 강남구 멀티캠퍼스 역삼 SSAFY 서울캠퍼스에서 청년 취업 지원을 위한 현장 간담회를 하고 있다. 2025.3.20 [공동취재]

pdj6635@yna.co.kr"
0004463590,네이버,삼성전자,2025-03-20T11:36:00+09:00,떨어지면 더 산다…삼성중공업 순매수 1위 [주식초고수는 지금],"삼성重, 전날에도 순매수 3위
한화엔진·유한양행도 상위권

[서울경제]

미래에셋증권에서 거래하는 고수익 투자자들이 20일 오전 가장 많이 순매수한 종목은 삼성중공업(010140), 한화엔진(082740), 유한양행(000100) 순으로 집계됐다.

이날 미래에셋증권에 따르면 미래에셋증권 주식 거래 고객 중 최근 1개월 간 투자수익률 상위 1%에 해당하는 ‘주식 초고수’들이 오전 11시까지 가장 많이 사들인 종목은 삼성중공업으로 나타났다. 초고수들은 전 거래일에도 삼성중공업을 세 번째로 많이 샀다. 삼성중공업 주가는 전 거래일 1.49% 내렸고 이날도 3%대 하락세다.

증권가에서는 삼성중공업 목표주가를 2만 원으로 제시한 상태다. NH투자증권은 지난 18일 보고서에서 삼성중공업 목표가를 기존보다 16% 높은 2만 원으로 제시하면서 “상반기 셔틀탱커와 하반기 액화천연가스(LNG)선 수주를 통해 연간 수주 목표를 달성할 것”이라고 설명했다. 삼성중공업은 같은 날 아시아 지역 선주로부터 초대형 에탄 운반선(VLEC) 2척을 4661억 원에 수주했다고 밝혔다.

정연승 NH투자증권 연구원은 “현재 논의되고 있는 아이스클래스(Ice Class) 셔틀탱커도 인도 경험 보유해 수주 가능성이 존재한다”며 “삼성중공업이 강점을 가진 부유식 액화천연가스 생산설비(FLNG)도 연내 2기를 수주할 가능성이 높다”고 덧붙였다.

순매수 2위는 선박용 디젤엔진 사업을 전개하는 한화엔진이다. 순매수 1위와 2위에 조선사가 나란히 안착했다. 한화엔진 주가는 전일 대비 6%대 하락세를 보이고 있지만 초고수들은 순매수 기회로 삼은 것이다.

세계적으로 환경 규제가 강화되면서 친환경 엔진수요가 급증하는 가운데 한화엔진 역시 친환경 엔진 중심으로 수주가 잇따르고 있다. 한화엔진의 지난해 선박엔진 수주 금액(1조 5944억 원) 중 이중연료(DF) 엔진은 1조 3151억 원 규모로 82%를 차지했다. 엔진 가격 상승세가 올 해 이어질 것으로 전망돼 올 수익성 개선 기대감도 크다. 친환경 엔진은 영업이익률이 높은 고부가 제품으로 꼽힌다.

순매수 3위는 유한양행이다. 유한양행 주가는 지난 13일부터 6거래일 연속 상승세를 이어가고 있다. 특히 이날은 전일 대비 6%대 급등세를 나타냈다. 유한양행은 주주환원율을 30% 이상으로 높인다는 목표다. 2027년까지 약 1200억 원 규모의 자사주 1%를 소각할 예정이다.

이날 순매도는 HD현대일렉트릭(267260), 알테오젠(196170), 실리콘투(257720) 순으로 집계됐다. 전날 순매수는 한화에어로스페이스(012450), 키움증권(039490), 삼성중공업 순으로 많았다. 순매도는 크래프톤(259960), 삼성전자(005930), 씨앤씨인터내셔널(352480) 순이었다.

미래에셋증권은 자사 고객 중에서 지난 1개월간 수익률 상위 1% 투자자들의 매매 종목을 집계해 실시간·전일·최근 5일 기준으로 모바일트레이딩시스템(MTS) 상에서 공개하고 있다. 이 통계 데이터는 미래에셋증권의 의견과 무관한 단순 정보 안내이며 각각의 투자자 개인에게 맞는 투자 또는 수익 달성을 보장하지 않는다. 또 테마주 관련종목은 이상 급등락 가능성이 있으므로 유의해야 한다."
0015276571,네이버,삼성전자,2025-03-20T11:36:00+09:00,악수하는 이재용-이재명,"(서울=연합뉴스) 박동주 기자 = 더불어민주당 이재명 대표(오른쪽)가 20일 서울 강남구 멀티캠퍼스 역삼 SSAFY 서울캠퍼스에서 열린 청년 취업 지원을 위한 현장 간담회에 참석해 로비에 마중 나온 이재용 삼성전자 회장과 인사하고 있다. 2025.3.20 [공동취재]

pdj6635@yna.co.kr"
0015276565,네이버,삼성전자,2025-03-20T11:35:00+09:00,청년들과 대화하는 이재용 회장,"(서울=연합뉴스) 박동주 기자 = 이재용 삼성전자 회장이 20일 서울 강남구 삼성 청년 소프트웨어 아카데미(SSAFY)에서 열린 '청년 취업 지원 현장 간담회'를 마친 뒤 아카데미를 둘러보며 청년들과 대화하고 있다. 2025.3.20 [공동취재]

pdj6635@yna.co.kr"
